policy_id,customer_id,age,province,product_type,payment_mode,smoker,premium_monthly,coverage_amount,years_active,missed_payments_12m,lapsed
POL-00175,CUST-14903,52,Alberta,Whole Life,Monthly,0,121.93,50000,2,0,0
POL-00176,CUST-23466,42,Alberta,Term Life,Monthly,1,162.29,50000,6,0,0
POL-00177,CUST-88325,37,Manitoba,Critical Illness,Monthly,0,98.61,50000,3,0,0
POL-00178,CUST-41215,42,Saskatchewan,Critical Illness,Monthly,0,124.64,50000,8,1,0
POL-00179,CUST-82233,47,Saskatchewan,Critical Illness,Monthly,0,121.76,50000,4,0,0
POL-00180,CUST-84875,37,Quebec,Critical Illness,Annual,1,118.21,50000,2,0,0
POL-00181,CUST-72405,67,Saskatchewan,Universal Life,Monthly,0,177.55,50000,3,2,0
POL-00182,CUST-25954,62,Saskatchewan,Whole Life,Monthly,0,169.21,50000,8,0,0
POL-00183,CUST-40120,57,Ontario,Critical Illness,Monthly,1,176.34,50000,3,0,0
POL-00184,CUST-16764,67,British Columbia,Term Life,Monthly,0,168.89,50000,1,0,0
POL-00185,CUST-10528,57,Quebec,Universal Life,Monthly,0,152.86,50000,5,1,0
POL-00186,CUST-86176,67,Ontario,Whole Life,Annual,0,171.25,50000,10,1,0
POL-00187,CUST-52908,57,Manitoba,Universal Life,Monthly,0,168.31,50000,10,2,1
POL-00188,CUST-80267,42,Alberta,Term Life,Monthly,0,125.6,50000,6,1,0
POL-00189,CUST-24084,57,Quebec,Term Life,Monthly,0,143.31,50000,10,0,0
POL-00190,CUST-24231,57,British Columbia,Term Life,Monthly,0,152.73,50000,3,0,0
POL-00191,CUST-60705,47,Saskatchewan,Whole Life,Monthly,0,124.44,50000,11,0,0
POL-00192,CUST-57530,42,British Columbia,Whole Life,Annual,1,142.81,50000,1,0,0
POL-00193,CUST-47215,32,Alberta,Term Life,Monthly,0,117.24,50000,3,0,0
POL-00194,CUST-13752,57,Quebec,Term Life,Monthly,0,154.01,50000,14,0,0
POL-00195,CUST-33698,42,Alberta,Whole Life,Annual,1,133.26,50000,8,0,0
POL-00196,CUST-23366,37,British Columbia,Term Life,Monthly,0,103.4,50000,9,0,0
POL-00197,CUST-24940,52,Ontario,Universal Life,Annual,0,147.69,50000,6,0,0
POL-00198,CUST-33153,52,Saskatchewan,Term Life,Annual,0,119.83,50000,10,1,1
POL-00199,CUST-69998,57,British Columbia,Whole Life,Monthly,0,138.56,50000,12,2,0
POL-00200,CUST-73359,32,British Columbia,Term Life,Monthly,0,134.54,50000,12,1,0
POL-00201,CUST-82184,47,Quebec,Whole Life,Monthly,1,160.63,50000,4,1,0
POL-00202,CUST-37444,32,Saskatchewan,Whole Life,Monthly,0,115.59,50000,10,1,0
POL-00203,CUST-58646,27,Ontario,Whole Life,Monthly,0,111.61,50000,12,0,0
POL-00204,CUST-82942,67,Alberta,Whole Life,Monthly,1,189.7,50000,7,1,0
POL-00205,CUST-53876,42,Alberta,Whole Life,Annual,0,123.8,50000,6,2,1
POL-00206,CUST-12118,52,British Columbia,Term Life,Monthly,0,163.31,50000,10,0,0
POL-00207,CUST-54694,32,Alberta,Whole Life,Monthly,0,108.11,50000,9,1,0
POL-00208,CUST-10389,32,Quebec,Term Life,Monthly,1,165.99,50000,4,0,0
POL-00209,CUST-44824,27,Alberta,Universal Life,Monthly,0,85.96,50000,15,0,0
POL-00210,CUST-36981,57,Ontario,Whole Life,Monthly,1,204.17,50000,9,0,1
POL-00211,CUST-92370,37,Quebec,Universal Life,Monthly,0,111.8,50000,9,0,0
POL-00212,CUST-75784,27,Ontario,Whole Life,Monthly,1,124.67,50000,4,1,0
POL-00213,CUST-69275,67,British Columbia,Term Life,Monthly,0,173.28,50000,11,1,0
POL-00214,CUST-95637,52,Quebec,Term Life,Monthly,0,137.26,50000,14,1,0
POL-00215,CUST-94803,62,Quebec,Term Life,Monthly,0,155.59,50000,11,0,0
POL-00216,CUST-38389,32,Quebec,Whole Life,Monthly,0,108.42,50000,8,1,0
POL-00217,CUST-59639,52,Alberta,Universal Life,Annual,0,116.91,50000,10,0,0
POL-00218,CUST-60121,67,Alberta,Universal Life,Monthly,0,156.02,50000,4,0,0
POL-00219,CUST-12128,52,Saskatchewan,Whole Life,Monthly,0,147.27,50000,1,0,0
POL-00220,CUST-13721,27,Manitoba,Term Life,Monthly,0,105.5,50000,10,0,0
POL-00221,CUST-40509,42,British Columbia,Critical Illness,Monthly,0,124.89,50000,3,0,0
POL-00222,CUST-10113,42,Manitoba,Term Life,Monthly,0,123.91,50000,2,0,0
POL-00223,CUST-72099,27,Ontario,Term Life,Annual,0,98.43,50000,12,1,0
POL-00224,CUST-11418,62,Saskatchewan,Critical Illness,Monthly,0,168.09,50000,7,0,0
POL-00225,CUST-30474,37,British Columbia,Term Life,Monthly,0,94.49,50000,13,1,0
POL-00226,CUST-18759,57,Saskatchewan,Term Life,Annual,0,141.49,50000,13,0,0
POL-00227,CUST-54995,62,Alberta,Term Life,Monthly,1,190.71,50000,2,2,0
POL-00228,CUST-88690,57,Ontario,Whole Life,Monthly,1,184.95,50000,12,0,0
POL-00229,CUST-14874,27,Ontario,Term Life,Monthly,0,68.28,50000,6,0,0
POL-00230,CUST-67724,57,Alberta,Universal Life,Annual,0,132.51,50000,11,0,0
POL-00231,CUST-58777,42,Alberta,Whole Life,Monthly,0,120.4,50000,1,0,0
POL-00232,CUST-90847,67,Manitoba,Term Life,Monthly,0,177.76,50000,8,0,0
POL-00233,CUST-63613,32,Saskatchewan,Term Life,Annual,0,97.57,50000,10,0,0
POL-00234,CUST-85139,47,Ontario,Universal Life,Annual,1,156.6,50000,7,0,0
POL-00235,CUST-72218,67,Saskatchewan,Term Life,Annual,1,206.94,50000,9,1,0
POL-00236,CUST-78857,47,Quebec,Universal Life,Monthly,0,125.66,50000,1,2,1
POL-00237,CUST-53715,57,Manitoba,Whole Life,Annual,0,158.17,50000,1,0,0
POL-00238,CUST-41833,47,Quebec,Term Life,Monthly,0,126.94,50000,10,1,0
POL-00239,CUST-56070,57,Alberta,Whole Life,Monthly,0,134.22,50000,7,0,0
POL-00240,CUST-22061,47,Alberta,Whole Life,Annual,0,146.65,50000,9,0,0
POL-00241,CUST-74087,47,Quebec,Whole Life,Monthly,0,144.45,50000,6,0,0
POL-00242,CUST-19302,42,Quebec,Universal Life,Monthly,0,109.13,50000,1,1,0
POL-00243,CUST-93949,47,British Columbia,Critical Illness,Monthly,1,169.35,50000,11,0,0
POL-00244,CUST-12251,27,Ontario,Universal Life,Annual,0,89.68,50000,3,1,0
POL-00245,CUST-20109,67,Ontario,Whole Life,Monthly,0,173.03,50000,12,1,0
POL-00246,CUST-25999,42,Saskatchewan,Whole Life,Annual,1,145.09,50000,1,0,1
POL-00247,CUST-26520,62,Ontario,Whole Life,Monthly,0,167.06,50000,14,2,0
POL-00248,CUST-11722,27,Manitoba,Term Life,Monthly,0,107.94,50000,4,1,0
POL-00249,CUST-98645,52,Manitoba,Universal Life,Monthly,0,127.23,50000,14,0,0
POL-00250,CUST-71901,42,Manitoba,Critical Illness,Annual,0,121.41,50000,1,0,0
POL-00251,CUST-37037,32,Ontario,Term Life,Monthly,0,117.19,50000,7,0,1
POL-00252,CUST-44995,27,Saskatchewan,Critical Illness,Monthly,1,116.58,50000,7,0,0
POL-00253,CUST-30389,32,Manitoba,Universal Life,Monthly,0,94.57,50000,3,0,0
POL-00254,CUST-57533,42,British Columbia,Whole Life,Annual,0,128.54,50000,8,1,0
POL-00255,CUST-45651,47,British Columbia,Critical Illness,Annual,0,127.67,50000,4,1,1
POL-00256,CUST-53095,52,Quebec,Term Life,Monthly,0,119.7,50000,7,0,0
POL-00257,CUST-45986,62,Quebec,Term Life,Monthly,1,187.76,50000,6,1,1
POL-00258,CUST-35508,42,Alberta,Term Life,Monthly,0,141.56,50000,3,0,0
POL-00259,CUST-55425,57,Alberta,Whole Life,Monthly,0,172.35,50000,12,1,0
POL-00260,CUST-20307,57,Ontario,Term Life,Annual,0,139.95,50000,8,0,0
POL-00261,CUST-60152,47,Alberta,Critical Illness,Monthly,0,118.64,50000,13,0,0
POL-00262,CUST-58805,37,Quebec,Term Life,Monthly,1,141.1,50000,13,0,0
POL-00263,CUST-20793,52,British Columbia,Term Life,Monthly,0,160.22,50000,4,1,0
POL-00264,CUST-87736,27,Alberta,Whole Life,Monthly,0,103.71,50000,5,0,0
POL-00265,CUST-95626,57,Saskatchewan,Term Life,Monthly,0,165.17,50000,15,0,0
POL-00266,CUST-77472,52,Alberta,Universal Life,Monthly,0,150.58,50000,5,0,0
POL-00267,CUST-95433,37,British Columbia,Term Life,Monthly,0,95.77,50000,2,0,0
POL-00268,CUST-93831,42,Alberta,Critical Illness,Monthly,0,109.21,50000,9,2,0
POL-00269,CUST-76521,27,Alberta,Universal Life,Monthly,0,85.25,50000,15,2,0
POL-00270,CUST-42037,52,Alberta,Term Life,Monthly,1,167.34,50000,4,0,0
POL-00271,CUST-28760,32,Alberta,Term Life,Monthly,0,94.46,50000,10,0,0
POL-00272,CUST-86112,67,British Columbia,Term Life,Monthly,0,158.86,50000,6,0,0
POL-00273,CUST-53894,57,Alberta,Critical Illness,Monthly,0,155.29,50000,6,0,0
POL-00274,CUST-75030,42,Ontario,Universal Life,Monthly,0,122.23,50000,7,0,1
POL-00275,CUST-90150,47,Quebec,Whole Life,Monthly,0,144.24,50000,3,1,0
POL-00276,CUST-94869,62,Manitoba,Term Life,Monthly,0,159.62,50000,6,0,0
POL-00277,CUST-71467,62,British Columbia,Critical Illness,Monthly,0,148.48,50000,5,1,0
POL-00278,CUST-35898,57,Ontario,Term Life,Monthly,0,149.86,50000,13,0,0
POL-00279,CUST-17357,27,Saskatchewan,Universal Life,Annual,0,75.46,50000,4,0,1
POL-00280,CUST-82325,67,Saskatchewan,Universal Life,Monthly,0,137.86,50000,13,0,0
POL-00281,CUST-12171,52,Alberta,Term Life,Annual,1,181.32,50000,1,0,0
POL-00282,CUST-55733,47,British Columbia,Whole Life,Monthly,0,141.82,50000,7,0,1
POL-00283,CUST-36464,52,British Columbia,Term Life,Monthly,1,174.47,50000,5,1,0
POL-00284,CUST-49306,42,British Columbia,Term Life,Monthly,0,115.9,50000,7,1,0
POL-00285,CUST-89072,27,Ontario,Critical Illness,Monthly,0,77.5,50000,12,0,0
POL-00286,CUST-51917,37,Manitoba,Universal Life,Monthly,0,125.6,50000,15,0,0
POL-00287,CUST-23321,42,Alberta,Universal Life,Annual,0,126.51,50000,11,0,0
POL-00288,CUST-48932,67,Manitoba,Whole Life,Annual,1,204.09,50000,8,0,0
POL-00289,CUST-19089,57,Ontario,Term Life,Monthly,0,147.54,50000,8,0,0
POL-00290,CUST-88935,62,Alberta,Universal Life,Monthly,1,185.97,50000,15,0,0
POL-00291,CUST-13544,42,Saskatchewan,Whole Life,Monthly,0,107.24,50000,15,0,0
POL-00292,CUST-94996,52,Alberta,Term Life,Monthly,0,141.63,50000,12,0,0
POL-00293,CUST-29937,67,Saskatchewan,Whole Life,Monthly,0,159.14,50000,3,0,0
POL-00294,CUST-69668,27,Alberta,Whole Life,Monthly,0,88.51,50000,4,0,0
POL-00295,CUST-89471,32,Saskatchewan,Universal Life,Monthly,0,123.21,50000,5,1,0
POL-00296,CUST-27349,57,Saskatchewan,Term Life,Annual,1,182.02,50000,4,1,0
POL-00297,CUST-93715,27,Saskatchewan,Critical Illness,Monthly,0,64.16,50000,15,0,0
POL-00298,CUST-47845,42,Quebec,Term Life,Monthly,0,114.17,50000,3,2,0
POL-00299,CUST-55889,67,Quebec,Term Life,Monthly,0,153.58,50000,13,1,0
POL-00300,CUST-42002,47,Ontario,Term Life,Annual,0,127.93,50000,13,2,0
